Paper ID,Title,Authors,Year,Filename
1312.6034,Deep Inside Convolutional Networks: Visualising Image Classification Models and Saliency Maps,"Karen Simonyan, Andrea Vedaldi, Andrew Zisserman",2013,1312.6034_Deep_Inside_Convolutional_Networks_Visualising_Image_Classification_Models_and_Saliency_Maps.pdf
1312.6055,Unit Tests for Stochastic Optimization,"Tom Schaul, Ioannis Antonoglou, David Silver",2013,1312.6055_Unit_Tests_for_Stochastic_Optimization.pdf
1312.6114,Auto-Encoding Variational Bayes,"Diederik P Kingma, Max Welling",2013,1312.6114_Auto-Encoding_Variational_Bayes.pdf
1312.6120,Exact solutions to the nonlinear dynamics of learning in deep linear neural networks,"Andrew M. Saxe, James L. McClelland, Surya Ganguli",2013,1312.6120_Exact_solutions_to_the_nonlinear_dynamics_of_learning_in_deep_linear_neural_networks.pdf
1402.1869,On the Number of Linear Regions of Deep Neural Networks,"Guido Montúfar, Razvan Pascanu, Kyunghyun Cho, Yoshua Bengio",2014,1402.1869_On_the_Number_of_Linear_Regions_of_Deep_Neural_Networks.pdf
1402.3337,Zero-bias autoencoders and the benefits of co-adapting features,"Kishore Konda, Roland Memisevic, David Krueger",2014,1402.3337_Zero-bias_autoencoders_and_the_benefits_of_co-adapting_features.pdf
1404.2188,A Convolutional Neural Network for Modelling Sentences,"Nal Kalchbrenner, Edward Grefenstette, Phil Blunsom",2014,1404.2188_A_Convolutional_Neural_Network_for_Modelling_Sentences.pdf
1404.4171,Dropout Training for Support Vector Machines,"Ning Chen, Jun Zhu, Jianfei Chen, Bo Zhang",2014,1404.4171_Dropout_Training_for_Support_Vector_Machines.pdf
1405.4053,Distributed Representations of Sentences and Documents,"Quoc V. Le, Tomas Mikolov",2014,1405.4053_Distributed_Representations_of_Sentences_and_Documents.pdf
1405.4604,On the saddle point problem for non-convex optimization,"Razvan Pascanu, Yann N. Dauphin, Surya Ganguli, Yoshua Bengio",2014,1405.4604_On_the_saddle_point_problem_for_non-convex_optimization.pdf
1405.5713,Spectral tensor-train decomposition,"Daniele Bigoni, Allan P. Engsig-Karup, Youssef M. Marzouk",2014,1405.5713_Spectral_tensor-train_decomposition.pdf
1405.5848,Batch Informed Trees (BIT*): Sampling-based Optimal Planning via the Heuristically Guided Search of Implicit Random Geometric Graphs,"Jonathan D. Gammell, Siddhartha S. Srinivasa, Timothy D. Barfoot",2014,1405.5848_Batch_Informed_Trees_(BIT)_Sampling-based_Optimal_Planning_via_the_Heuristically_Guided_Search_of_Implicit_Random_Geomet.pdf
1406.1078,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,"Kyunghyun Cho, Bart van Merrienboer, Caglar Gulcehre, Dzmitry Bahdanau, Fethi Bougares, Holger Schwenk, Yoshua Bengio",2014,1406.1078_Learning_Phrase_Representations_using_RNN_Encoder-Decoder_for_Statistical_Machine_Translation.pdf
1406.1831,Analyzing noise in autoencoders and deep networks,"Ben Poole, Jascha Sohl-Dickstein, Surya Ganguli",2014,1406.1831_Analyzing_noise_in_autoencoders_and_deep_networks.pdf
1406.2294,"A Fast, Minimal Memory, Consistent Hash Algorithm","John Lamping, Eric Veach",2014,"1406.2294_A_Fast,_Minimal_Memory,_Consistent_Hash_Algorithm.pdf"
1406.2572,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,"Yann Dauphin, Razvan Pascanu, Caglar Gulcehre, Kyunghyun Cho, Surya Ganguli, Yoshua Bengio",2014,1406.2572_Identifying_and_attacking_the_saddle_point_problem_in_high-dimensional_non-convex_optimization.pdf
1406.2751,Reweighted Wake-Sleep,"Jörg Bornschein, Yoshua Bengio",2014,1406.2751_Reweighted_Wake-Sleep.pdf
1406.5298,Semi-Supervised Learning with Deep Generative Models,"Diederik P. Kingma, Danilo J. Rezende, Shakir Mohamed, Max Welling",2014,1406.5298_Semi-Supervised_Learning_with_Deep_Generative_Models.pdf
1406.7444,Learning to Deblur,"Christian J. Schuler, Michael Hirsch, Stefan Harmeling, Bernhard Schölkopf",2014,1406.7444_Learning_to_Deblur.pdf
1408.5093,Caffe: Convolutional Architecture for Fast Feature Embedding,"Yangqing Jia, Evan Shelhamer, Jeff Donahue, Sergey Karayev, Jonathan Long, Ross Girshick, Sergio Guadarrama, Trevor Darrell",2014,1408.5093_Caffe_Convolutional_Architecture_for_Fast_Feature_Embedding.pdf
1409.0473,Neural Machine Translation by Jointly Learning to Align and Translate,"Dzmitry Bahdanau, Kyunghyun Cho, Yoshua Bengio",2014,1409.0473_Neural_Machine_Translation_by_Jointly_Learning_to_Align_and_Translate.pdf
